Country_Code,Year,Traffic_Deaths,Population,GDP_Per_Capita,Alcohol_Per_Capita,Death_Rate_Per_100k
AFG,2000,6581,20130327.0,174.930991430166,0.003,32.6919676963022
AFG,2001,6720,20284307.0,138.706821676113,0.003,33.129058833511046
AFG,2002,6696,21378117.0,178.954088379235,0.007,31.321748309264095
AFG,2003,7243,22733049.0,198.871115728727,0.016,31.861102309681378
AFG,2004,7522,23560654.0,221.763653873013,0.021,31.92610867253515
AFG,2005,7577,24404567.0,254.184249149336,0.027,31.047467467871897
AFG,2006,7484,25424094.0,274.218553561575,0.025,29.436643838714566
AFG,2007,7425,25909852.0,376.223152003876,0.03,28.6570529233436
AFG,2008,7355,26482622.0,381.73323802844,0.025,27.772929734827617
AFG,2009,7290,27466101.0,452.053705477043,0.023,26.54180875545459
AFG,2010,7379,28284089.0,560.621505463146,0.012,26.08887279346349
AFG,2011,7432,29347708.0,606.694676337726,0.008,25.323953747938344
AFG,2012,7494,30560034.0,651.417134470046,0.004,24.522224026321435
AFG,2013,8054,31622704.0,637.087099117099,0.004,25.469042748526505
AFG,2014,8087,32792523.0,625.054941813938,0.004,24.661109485232352
AFG,2015,7730,33831764.0,565.569730408751,0.009,22.848350443683636
AFG,2016,7866,34700612.0,522.082215583898,0.013,22.668188099967807
AFG,2017,8013,35688935.0,525.469770891619,0.017,22.45233711793305
AFG,2018,8095,36743039.0,491.337221382603,0.016,22.031383958196816
AFG,2019,8254,37856121.0,496.6025042585,0.016,21.803607400768822
ALB,2000,259,3089027.0,1160.42047054038,4.43,8.384517195867824
ALB,2001,257,3060173.0,1326.41652388077,4.43,8.398218009243267
ALB,2002,268,3051010.0,1479.83884572006,4.57,8.783976453698939
ALB,2003,287,3039616.0,1908.69900687608,4.58,9.441982145113068
ALB,2004,290,3026939.0,2446.90949947798,4.98,9.580635751166442
ALB,2005,276,3011487.0,2741.72136549578,5.3,9.164907568918611
ALB,2006,260,2992547.0,3057.77257038113,5.64,8.688251178678229
ALB,2007,258,2970017.0,3743.05529896187,5.81,8.686818964335894
ALB,2008,261,2947314.0,4498.50486763601,6.0,8.85552065372064
ALB,2009,249,2927519.0,4213.65007574693,5.94,8.50549560908059
ALB,2010,252,2913021.0,4149.14469936847,5.9,8.65081302194526
ALB,2011,255,2905195.0,4465.70914328865,5.58,8.777379831646412
ALB,2012,252,2860708.0,4280.93316338873,5.37,8.809008119668277
ALB,2013,251,2816902.0,4542.92903556739,5.04,8.910498128795394
ALB,2014,254,2773767.0,4793.59751131525,5.0,9.15722192959971
ALB,2015,258,2731293.0,4199.53912925398,5.04,9.446075540046417
ALB,2016,255,2689469.0,4457.63412207495,5.13,9.481425515594342
ALB,2017,251,2648285.0,5006.36012951959,5.13,9.477831879876977
ALB,2018,247,2607733.0,5897.65452588774,5.11,9.471828595949049
ALB,2019,243,2567801.0,6069.43903131027,5.11,9.463350158365076
DZA,2000,13538,30903893.0,1772.92869122761,0.3,43.806778647596275
DZA,2001,13410,31331221.0,1896.30020878013,0.3,42.8007577489559
DZA,2002,13224,31750835.0,1937.46411413019,0.33,41.649298357035335
DZA,2003,12701,32175818.0,2283.77299346126,0.41,39.473743915383906
DZA,2004,12535,32628286.0,2816.99384960555,0.46,38.41758650760877
DZA,2005,12320,33109249.0,3233.13339634212,0.47,37.210146324974026
DZA,2006,12077,33623506.0,3660.66104745322,0.44,35.9183245197571
DZA,2007,11847,34189416.0,4167.45169937531,0.39,34.651074472871954
DZA,2008,11643,34816961.0,5180.91881514686,0.41,33.4405981038954
DZA,2009,11450,35490445.0,4235.42990456612,0.43,32.26220465818335
DZA,2010,11270,36188236.0,4912.78585503672,0.44,31.14271720787938
DZA,2011,11231,36903376.0,5916.31364364343,0.44,30.43352998381503
DZA,2012,11152,37646166.0,6033.64884689543,0.48,29.623202532762562
DZA,2013,11158,38414171.0,5979.60138960585,0.52,29.046572422453163
DZA,2014,11176,39205031.0,6094.69392314956,0.56,28.50654549922432
DZA,2015,11131,40019529.0,4685.05902729002,0.58,27.813920548640137
DZA,2016,10932,40850721.0,4424.98529027556,0.6,26.760849582067355
DZA,2017,10868,41689299.0,4554.66753957828,0.61,26.069039923170696
DZA,2018,11030,42505035.0,4577.21029180491,0.61,25.949866880476634
DZA,2019,11051,43294546.0,4468.45341883656,0.61,25.525155062256573
AND,2000,8,65685.0,21810.2503808666,12.55,12.179340793179568
AND,2001,8,65852.0,23511.2969500881,12.55,12.148454109214603
AND,2002,8,66506.0,26528.1300628236,12.39,12.028989865576039
AND,2003,9,69486.0,34063.575598394,12.12,12.952249373974613
AND,2004,9,74325.0,39021.1107100919,12.19,12.108980827447024
AND,2005,9,77421.0,40829.8116399538,12.26,11.624752973999303
AND,2006,9,79585.0,43467.1963063068,12.19,11.308663692906956
AND,2007,10,81877.0,48336.2548304926,11.87,12.213442114391098
AND,2008,9,83495.0,49132.4925840057,11.52,10.779088568177736
AND,2009,9,83888.0,43975.0000888133,11.07,10.728590501621209
AND,2010,9,80706.0,42746.830391567,10.78,11.151587242584194
AND,2011,8,77783.0,46657.1495384811,10.47,10.285023719835953
AND,2012,8,76834.0,41500.5499988288,10.32,10.41205716219382
AND,2013,8,75194.0,42470.3230369366,10.14,10.639146740431418
AND,2014,8,73737.0,44369.6712976777,10.38,10.849370058450981
AND,2015,8,72174.0,38654.95287916,10.76,11.084323994790369
AND,2016,8,72181.0,40129.8385811474,11.19,11.083249054460314
AND,2017,8,73763.0,40672.9717424447,11.1,10.845545869880564
AND,2018,8,75162.0,42819.7577456133,11.05,10.643676325802932
AND,2019,8,76474.0,41257.816459345,11.05,10.461071736799436
AGO,2000,7978,16194869.0,563.733795571487,5.19,49.262516418008694
AGO,2001,8158,16747208.0,533.586202412447,5.19,48.71259734756981
AGO,2002,8265,17327699.0,999.065855913758,5.43,47.698196973527764
AGO,2003,8539,17943712.0,1133.66331960607,5.58,47.587700917179234
AGO,2004,9112,18600423.0,1451.47117872493,6.08,48.988133226862644
AGO,2005,9106,19291161.0,2145.88621096327,6.69,47.202965129988804
AGO,2006,9212,20015279.0,2930.4442860732,7.27,46.024839323998435
AGO,2007,9294,20778561.0,3515.05678986535,7.61,44.72879522311482
AGO,2008,9360,21578655.0,4578.15526451517,7.78,43.376197450675214
AGO,2009,9360,22414773.0,3645.14846562976,8.11,41.75817439685871
AGO,2010,9512,23294825.0,4101.63715566712,8.32,40.83310348972358
AGO,2011,9523,24218352.0,5184.15269149912,8.59,39.32142038401292
AGO,2012,9524,25177394.0,5702.45306277434,8.61,37.82758453873344
AGO,2013,9284,26165620.0,5688.57916215215,8.74,35.48167404403183
